event_id,subtype_id,seeded
5,4,1
5,2,1
6,2,1
7,4,1
8,1,1
9,2,1
10,1,1
10,2,1
11,2,1
11,3,1
11,4,1
12,4,1
13,2,1
14,2,1
15,3,1
16,2,1
17,1,1
18,2,1
19,1,1
19,2,1
19,3,1
20,1,1
20,2,1
20,3,1
20,4,1
21,2,1
22,1,1
23,1,1
24,1,1
24,2,1
24,3,1
24,4,1
25,1,1
26,4,1
27,1,1
27,2,1
27,3,1
27,4,1
28,4,1
29,1,1
30,1,1
30,2,1
30,4,1
31,1,1
32,1,1
33,1,1
33,2,1
33,4,1
1,1,1
1,2,1
1,3,1
2,1,1
2,2,1
2,3,1
2,4,1
3,1,1
4,1,1
34,10,
34,1,
35,6,
36,2,
37,5,
37,6,
38,3,
38,6,
38,9,
39,2,
39,6,
40,6,
40,7,
40,8,
40,9,
